"ID","Key","Value"
"fe75037b","Directed","false"
"6109aff3","Directed","false"
"be282150","Directed","false"
"c4ec865c","Access_Type","Write"
"477bc30c","Access_Type","Write"
"e1e9c30b","Access_Type","Write"
